year,team_code,team_name,shirt_no,pos,player_key,player_display,dob,caps,club,club_nat,captain
1930,BEL,Belgium,,MF,August Hellemans,August Hellemans,1907-06-21,4,RFC Malinois,Belgium,0
1930,BEL,Belgium,,FW,Bernard Voorhoof,Bernard Voorhoof,1910-05-10,6,Liersche,Belgium,0
1930,BEL,Belgium,,FW,Ferdinand Adams,Ferdinand Adams,1903-05-03,21,Anderlecht,Belgium,0
1930,BEL,Belgium,,MF,Gérard Delbeke,Gérard Delbeke,1898-08-01,0,FC Brugeois,Belgium,0
1930,BEL,Belgium,,DF,Henri De Deken,Henri De Deken,1907-08-03,0,Antwerp,Belgium,0
1930,BEL,Belgium,,FW,Jacques Moeschal (footballer),Jacques Moeschal,1900-09-06,15,Racing Bruxelles,Belgium,0
1930,BEL,Belgium,,FW,Jan Diddens,Jan Diddens,1906-09-14,21,RC de Malines,Belgium,0
1930,BEL,Belgium,,GK,Jean De Bie,Jean De Bie,1892-05-09,37,Racing Bruxelles,Belgium,0
1930,BEL,Belgium,,MF,Jean De Clercq,Jean De Clercq,1905-05-17,5,Antwerp,Belgium,0
1930,BEL,Belgium,,FW,Louis Versyp,Louis Versyp,1908-12-05,7,FC Brugeois,Belgium,0
1930,BEL,Belgium,,DF,Nicolas Hoydonckx,Nicolas Hoydonckx,1900-12-29,19,FC Excelsior Hasselt,Belgium,0
1930,BEL,Belgium,,MF,Pierre Braine,Pierre Braine,1900-10-26,42,Beerschot,Belgium,1
1930,BEL,Belgium,,DF,Théodore Nouwens,Théodore Nouwens,1908-02-17,10,RC de Malines,Belgium,0
1930,BOL,Bolivia,,DF,Casiano Chavarría,Casiano Chavarría,1901-08-03,6,Calavera La Paz,Bolivia,0
1930,BOL,Bolivia,,MF,Constantino Noya,Constantino Noya,,0,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,MF,Diógenes Lara,Diógenes Lara,1903-04-06,7,Club Bolivar,Bolivia,0
1930,BOL,Bolivia,,FW,Eduardo Reyes Ortiz,Eduardo Reyes Ortiz,1907-01-01,0,The Strongest,Bolivia,0
1930,BOL,Bolivia,,FW,Gumercindo Gómez,Gumercindo Gómez,1907-01-21,0,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,GK,Jesús Bermúdez,Jesús Bermúdez,1902-01-24,6,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,MF,Jorge Valderrama,Jorge Valderrama,1906-12-12,5,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,FW,"José Bustamante (footballer, born 1907)",José Bustamante,,7,Bolívar Nimbles,Bolivia,0
1930,BOL,Bolivia,,MF,Juan Argote,Juan Argote,1907-01-06,0,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,DF,Luis Reyes (Bolivian footballer),Luis Reyes,1911-06-05,0,Universitario de La Paz,Bolivia,0
1930,BOL,Bolivia,,FW,Mario Alborta,Mario Alborta,1910-09-19,7,Club Bolivar,Bolivia,0
1930,BOL,Bolivia,,MF,Miguel Brito,Miguel Brito,1901-06-13,0,Oruro Royal,Bolivia,0
1930,BOL,Bolivia,,GK,Miguel Murillo (Bolivian footballer),Miguel Murillo,1898-03-24,0,Club Bolivar,Bolivia,0
1930,BOL,Bolivia,,FW,Rafael Méndez (footballer),Rafael Méndez,,7,Universitario de La Paz,Bolivia,1
1930,BOL,Bolivia,,MF,Renato Sáinz,Renato Sáinz,1899-12-14,5,The Strongest,Bolivia,0
1930,BOL,Bolivia,,FW,René Fernández,René Fernández,1906-01-01,0,Alianza Oruro,Bolivia,0
1930,BOL,Bolivia,,DF,Segundo Durandal,Segundo Durandal,1912-03-17,0,Club San José,Bolivia,0
1930,BRA,Brazil,,FW,Araken Patusca,Araken,1905-07-17,0,Flamengo*,Brazil,0
1930,BRA,Brazil,,FW,Benedicto (footballer),Benedicto,1906-10-30,0,Botafogo,Brazil,0
1930,BRA,Brazil,,DF,Brilhante (footballer),Brilhante,1904-11-05,0,Vasco da Gama,Brazil,0
1930,BRA,Brazil,,FW,Carvalho Leite,Carvalho Leite,1912-06-25,0,Botafogo,Brazil,0
1930,BRA,Brazil,,DF,Fausto dos Santos,Fausto,1905-01-28,0,Vasco da Gama,Brazil,0
1930,BRA,Brazil,,MF,Fernando Giudicelli,Fernando,1906-03-01,0,Fluminense,Brazil,0
1930,BRA,Brazil,,MF,Fortes (footballer),Fortes,1901-09-09,13,Fluminense,Brazil,0
1930,BRA,Brazil,,DF,Hermógenes Fonseca,Hermógenes,1908-11-04,0,America-RJ,Brazil,0
1930,BRA,Brazil,,DF,Itália (footballer),Itália,1907-05-22,0,Vasco da Gama,Brazil,0
1930,BRA,Brazil,,MF,Ivan Mariz,Ivan Mariz,1910-01-16,0,Fluminense,Brazil,0
1930,BRA,Brazil,,GK,"Joel (footballer, born 1904)",Joel,1904-05-01,0,America-RJ,Brazil,0
1930,BRA,Brazil,,FW,"Manoelzinho (footballer, born 1907)",Manoelzinho,1907-08-22,0,Ypiranga-RJ,Brazil,0
1930,BRA,Brazil,,FW,Moderato (footballer),Moderato,1902-07-14,4,Flamengo,Brazil,0
1930,BRA,Brazil,,FW,Nilo (footballer),Nilo,1903-04-03,10,Botafogo,Brazil,0
1930,BRA,Brazil,,MF,Oscarino,Oscarino,1907-01-17,0,Ypiranga-RJ,Brazil,0
1930,BRA,Brazil,,MF,Pamplona (footballer),Pamplona,1904-03-24,2,Botafogo,Brazil,0
1930,BRA,Brazil,,FW,Poly (footballer),Poly,1907-12-21,0,Americano (RJ),Brazil,0
1930,BRA,Brazil,,FW,Preguinho,Preguinho,1905-02-08,0,Fluminense,Brazil,1
1930,BRA,Brazil,,FW,"Russinho (footballer, born 1902)",Russinho,1902-12-18,0,Vasco da Gama,Brazil,0
1930,BRA,Brazil,,FW,Teóphilo,Teóphilo,1900-04-11,0,São Cristóvão,Brazil,0
1930,BRA,Brazil,,GK,"Velloso (footballer, born 1908)",Velloso,1908-09-25,0,Fluminense,Brazil,0
1930,BRA,Brazil,,DF,"Zé Luiz (footballer, born 1904)",Zé Luiz,1904-11-16,0,São Cristóvão,Brazil,0
1930,CHI,Chile,,MF,Arturo Coddou,Arturo Coddou,1905-01-14,0,Lord Cochrane,Chile,0
1930,CHI,Chile,,MF,"Arturo Torres (footballer, born 1906)",Arturo Torres,1906-10-20,3,Colo-Colo,Chile,0
1930,CHI,Chile,,FW,Carlos Schneeberger,Carlos Schneeberger,1902-06-21,3,Colo-Colo,Chile,1
1930,CHI,Chile,,FW,Carlos Vidal,Carlos Vidal,1902-02-22,0,Federico Schwager,Chile,0
1930,CHI,Chile,,MF,Casimiro Torres (Chilean footballer),Casimiro Torres,1905-03-04,0,Everton,Chile,0
1930,CHI,Chile,,GK,César Espinoza (Chilean footballer),César Espinoza,1908-05-31,0,CD Santiago,Chile,0
1930,CHI,Chile,,FW,Eberardo Villalobos,Eberardo Villalobos,1908-04-01,0,Rangers,Chile,0
1930,CHI,Chile,,DF,Ernesto Chaparro,Ernesto Chaparro,1901-01-04,3,Colo-Colo,Chile,0
1930,CHI,Chile,,FW,Guillermo Arellano,Guillermo Arellano,1908-08-21,0,Colo-Colo,Chile,0
1930,CHI,Chile,,DF,Guillermo Riveros,Guillermo Riveros,1902-02-10,2,La Cruz,Chile,0
1930,CHI,Chile,,MF,Guillermo Saavedra (footballer),Guillermo Saavedra,1903-11-05,6,Colo-Colo,Chile,0
1930,CHI,Chile,,FW,Guillermo Subiabre,Guillermo Subiabre,1903-02-25,3,Colo-Colo,Chile,0
1930,CHI,Chile,,DF,Horacio Muñoz,Horacio Muñoz,1896-05-18,9,Fernández Vial,Chile,0
1930,CHI,Chile,,MF,Humberto Elgueta,Humberto Elgueta,1904-09-10,9,Santiago Wanderers,Chile,0
1930,CHI,Chile,,FW,Juan Aguilera (Chilean footballer),Juan Aguilera,1903-10-23,0,Audax Italiano,Chile,0
1930,CHI,Chile,,GK,Roberto Cortés (Chilean footballer),Roberto Cortés,1905-02-02,3,Colo-Colo,Chile,0
1930,CHI,Chile,,FW,Tomás Ojeda,Tomás Ojeda,1910-04-20,0,Boca Juniors Antofagasta,Chile,0
1930,CHI,Chile,,DF,Ulises Poirier,Ulises Poirier,1897-02-02,14,La Cruz,Chile,0
1930,CHI,Chile,,DF,Víctor Morales (Chilean footballer),Víctor Morales,1905-05-10,8,Colo-Colo,Chile,0
1930,FRA,France,,GK,Alex Thépot,Alex Thépot,1906-07-30,12,Red Star,France,0
1930,FRA,France,,MF,Alexandre Villaplane,Alexandre Villaplane,1904-12-24,22,RC Paris,France,1
1930,FRA,France,,FW,André Maschinot,André Maschinot,1903-06-28,3,Sochaux,France,0
1930,FRA,France,,GK,André Tassin,André Tassin,1902-02-23,0,RC Paris,France,0
1930,FRA,France,,MF,Augustin Chantrel,Augustin Chantrel,1908-07-08,8,CASG Paris,France,0
1930,FRA,France,,MF,Célestin Delmer,Célestin Delmer,1907-02-15,2,Amiens,France,0
1930,FRA,France,,MF,Edmond Delfour,Edmond Delfour,1907-11-01,6,RC Paris,France,0
1930,FRA,France,,FW,Ernest Libérati,Ernest Libérati,1908-03-22,3,Amiens,France,0
1930,FRA,France,,DF,Jean Laurent (footballer),Jean Laurent,1906-12-30,3,Sochaux,France,0
1930,FRA,France,,FW,Lucien Laurent,Lucien Laurent,1907-12-10,2,Sochaux,France,0
1930,FRA,France,,DF,Marcel Capelle,Marcel Capelle,1904-02-23,4,RC Paris,France,0
1930,FRA,France,,FW,Marcel Langiller,Marcel Langiller,1908-06-02,8,Excelsior Roubaix,France,0
1930,FRA,France,,FW,Marcel Pinel,Marcel Pinel,1908-07-08,3,Red Star,France,0
1930,FRA,France,,DF,Numa Andoire,Numa Andoire,1908-03-19,0,Antibes,France,0
1930,FRA,France,,FW,Émile Veinante,Émile Veinante,1907-06-12,3,RC Paris,France,0
1930,FRA,France,,DF,Étienne Mattler,Étienne Mattler,1905-12-25,1,Sochaux,France,0
1930,MEX,Mexico,,MF,"Alfredo Sánchez (footballer, born 1904)",Alfredo Sánchez,1904-05-28,0,Club América,Mexico,0
1930,MEX,Mexico,,FW,Dionisio Mejía,Dionisio Mejía,1907-01-06,1,Atlante,Mexico,0
1930,MEX,Mexico,,MF,Efraín Amézcua,Efraín Amézcua,1907-08-03,0,Atlante,Mexico,0
1930,MEX,Mexico,,FW,Felipe Olivares,Felipe Olivares,1905-02-05,0,Atlante,Mexico,0
1930,MEX,Mexico,,MF,Felipe Rosas,Felipe Rosas,1910-02-05,0,Atlante,Mexico,0
1930,MEX,Mexico,,DF,Francisco Garza,Francisco Garza,1904-03-14,0,Club América,Mexico,0
1930,MEX,Mexico,,FW,Hilario López,Hilario López,1907-11-18,0,Marte,Mexico,0
1930,MEX,Mexico,,GK,Isidoro Sota,Isidoro Sota,1902-02-04,0,Club América,Mexico,0
1930,MEX,Mexico,,FW,Jesús Castro (Mexican footballer),Jesús Castro,1908-10-16,0,Deportivo Mexico,Mexico,0
1930,MEX,Mexico,,FW,"José Ruiz (footballer, born 1904)",José Ruíz,,0,Necaxa,Mexico,0
1930,MEX,Mexico,,FW,Juan Carreño,Juan Carreño,1907-08-14,2,Atlante,Mexico,0
1930,MEX,Mexico,,FW,"Luis Pérez (footballer, born 1906)",Luis Pérez,1906-08-25,0,Necaxa,Mexico,0
1930,MEX,Mexico,,DF,"Manuel Rosas (footballer, born 1912)",Manuel Rosas,1912-04-17,0,Atlante,Mexico,0
1930,MEX,Mexico,,DF,Rafael Garza,Rafael Garza,1896-12-13,5,Club América,Mexico,1
1930,MEX,Mexico,,MF,Raymundo Rodríguez,Raymundo Rodríguez,1905-04-15,0,Marte,Mexico,0
1930,MEX,Mexico,,FW,Roberto Gayón,Roberto Gayón,1905-01-01,0,Club América,Mexico,0
1930,MEX,Mexico,,GK,Óscar Bonfiglio,Óscar Bonfiglio,1905-10-05,2,Marte,Mexico,0
1930,PAR,Paraguay,,FW,Amadeo Ortega,Amadeo Ortega,,0,River Plate,PAR,0
1930,PAR,Paraguay,,FW,Aurelio González (footballer),Aurelio González,1905-09-25,0,Olimpia,PAR,0
1930,PAR,Paraguay,,FW,Bernabé Rivera (footballer),Bernabé Rivera,,0,Sportivo Luqueño,PAR,0
1930,PAR,Paraguay,,FW,Delfín Benítez Cáceres,Delfín Benítez Cáceres,1910-09-24,0,Libertad,PAR,0
1930,PAR,Paraguay,,MF,Diego Florentín,Diego Florentín,,?,River Plate,PAR,0
1930,PAR,Paraguay,,FW,Diógenes Domínguez,Diógenes Domínguez,,0,Sportivo Luqueño,PAR,0
1930,PAR,Paraguay,,MF,Eusebio Díaz,Eusebio Díaz,1898-06-21,0,Guaraní,PAR,0
1930,PAR,Paraguay,,DF,Eustacio Chamorro,Eustacio Chamorro,,?,Presidente Hayes,PAR,0
1930,PAR,Paraguay,,MF,Francisco Aguirre (Paraguayan footballer),Francisco Aguirre,1907-11-30,0,Olimpia,PAR,0
1930,PAR,Paraguay,,FW,Gerardo Romero,Gerardo Romero,,0,Libertad,PAR,0
1930,PAR,Paraguay,,FW,Jacinto Villalba,Jacinto Villalba,1914-09-19,?,Cerro Porteño,PAR,0
1930,PAR,Paraguay,,DF,José Miracca,José Miracca,1903-09-23,0,Nacional,PAR,0
1930,PAR,Paraguay,,FW,Lino Nessi,Lino Nessi,1905-09-23,0,Libertad,PAR,0
1930,PAR,Paraguay,,FW,Luis Vargas Peña,Luis Vargas Peña,1905-04-23,0,Olimpia,PAR,1
1930,PAR,Paraguay,,GK,Modesto Denis,Modesto Denis,1898-06-15,0,Nacional,PAR,0
1930,PAR,Paraguay,,GK,"Pedro Benítez (footballer, born 1901)",Pedro Benítez,1901-01-12,0,Libertad,PAR,0
1930,PAR,Paraguay,,DF,Quiterio Olmedo,Quiterio Olmedo,1901-05-22,0,Nacional,PAR,0
1930,PAR,Paraguay,,MF,Romildo Etcheverry,Romildo Etcheverry,1906-11-15,0,Olimpia,PAR,0
1930,PAR,Paraguay,,FW,Saguier Carreras,Saguier Carreras,,?,Sportivo Luqueño,PAR,0
1930,PAR,Paraguay,,DF,Salvador Flores (footballer),Salvador Flores,,0,Cerro Porteño,PAR,0
1930,PAR,Paraguay,,MF,Santiago Benítez,Santiago Benítez,,0,Olimpia,PAR,0
1930,PAR,Paraguay,,MF,Tranquilino Garcete,Tranquilino Garcete,,0,Libertad,PAR,0
1930,PER,Peru,,MF,Alberto Denegri,Alberto Denegri,1906-08-07,3,Universitario de Deportes,Peru,0
1930,PER,Peru,,DF,Alberto Soria,Alberto Soria,1906-03-10,0,Alianza Lima,Peru,0
1930,PER,Peru,,FW,Alejandro Villanueva (footballer),Alejandro Villanueva,1908-06-04,2,Alianza Lima,Peru,0
1930,PER,Peru,,DF,Antonio Maquilón,Antonio Maquilón,1902-11-29,5,Tarapacá Ferroviario,Peru,0
1930,PER,Peru,,DF,Arturo Fernández (footballer),Arturo Fernández,1910-02-03,0,Universitario de Deportes,Peru,0
1930,PER,Peru,,MF,Carlos Cillóniz,Carlos Cillóniz,1910-07-01,0,Universitario de Deportes,Peru,0
1930,PER,Peru,,FW,Demetrio Neyra,Demetrio Neyra,1908-12-15,2,Alianza Lima,Peru,0
1930,PER,Peru,,MF,Domingo García (footballer),Domingo García,1904-11-30,0,Alianza Lima,Peru,0
1930,PER,Peru,,MF,Eduardo Astengo,Eduardo Astengo,1909-06-26,3,Universitario de Deportes,Peru,0
1930,PER,Peru,,GK,Jorge Pardon,Jorge Pardon,1905-03-04,6,Sporting Tabaco,Peru,0
1930,PER,Peru,,FW,Jorge Sarmiento,Jorge Sarmiento,1900-11-02,2,Alianza Lima,Peru,0
1930,PER,Peru,,FW,José María Lavalle,José María Lavalle,1911-06-05,3,Alianza Lima,Peru,0
1930,PER,Peru,,GK,Juan Valdivieso,Juan Valdivieso,1910-05-06,0,Alianza Lima,Peru,0
1930,PER,Peru,,FW,Julio Lores,Julio Lores,1908-09-15,0,Necaxa,MEX,0
1930,PER,Peru,,MF,Julio Quintana (footballer),Julio Quintana,1904-07-13,0,Alianza Lima,Peru,0
1930,PER,Peru,,FW,Lizardo Rodríguez Nue,Lizardo Rodríguez Nue,1910-08-30,0,Sport Progreso,Peru,0
1930,PER,Peru,,FW,Luis de Souza,Luis de Souza,1908-10-06,0,Universitario de Deportes,Peru,0
1930,PER,Peru,,DF,Mario de las Casas,Mario de las Casas,1901-01-31,0,Lawn Tennis,Peru,0
1930,PER,Peru,,FW,Pablo Pacheco,Pablo Pacheco,1908-06-22,0,Universitario de Deportes,Peru,0
1930,PER,Peru,,MF,Plácido Galindo,Plácido Galindo,1906-03-09,1,Universitario de Deportes,Peru,1
1930,ROU,Romania,,FW,Adalbert Deșu,Adalbert Deșu,1909-03-24,4,Banatul Timișoara,Romania,0
1930,ROU,Romania,,DF,Adalbert Steiner,Adalbert Steiner,1907-01-24,9,CA Timișoara,Romania,0
1930,ROU,Romania,,MF,Alfred Eisenbeisser,Alfred Eisenbeisser,1908-04-07,0,Dragoș Vodă Cernăuți,Romania,0
1930,ROU,Romania,,FW,Constantin Stanciu,Constantin Stanciu,1907-09-24,4,Venus București,Romania,0
1930,ROU,Romania,,MF,Corneliu Robe,Corneliu Robe,1908-05-23,0,Olympia București,Romania,0
1930,ROU,Romania,,DF,Emerich Vogl,Emerich Vogl,1905-08-12,10,Juventus București,Romania,1
1930,ROU,Romania,,FW,Ilie Subășeanu,Ilie Subășeanu,1906-06-06,2,Olympia București,Romania,0
1930,ROU,Romania,,GK,Ion Lăpușneanu,Ion Lăpușneanu,1908-12-08,3,Sportul Studențesc,Romania,0
1930,ROU,Romania,,DF,Iosif Czako,Iosif Czako,1906-06-11,1,Banatul Timișoara,Romania,0
1930,ROU,Romania,,MF,László Raffinsky,László Raffinsky,1905-04-23,4,Juventus București,Romania,0
1930,ROU,Romania,,FW,Nicolae Kovács,Nicolae Kovács,1911-12-29,3,Banatul Timișoara,Romania,0
1930,ROU,Romania,,DF,Rudolf Bürger,Rudolf Bürger,1908-10-31,4,Chinezul Timișoara,Romania,0
1930,ROU,Romania,,FW,Rudolf Wetzer,Rudolf Wetzer,1901-03-17,12,Juventus București,Romania,0
1930,ROU,Romania,,GK,Samuel Zauber,Samuel Zauber,1901-01-09,0,Maccabi București,Romania,0
1930,ROU,Romania,,FW,Ștefan Barbu,Ștefan Barbu,1908-03-02,4,Gloria Arad,Romania,0
1930,USA,United States,,DF,Alexander Wood (soccer),Alexander Wood,1907-06-12,0,Detroit Holley Carburetor,United States,0
1930,USA,United States,,MF,Andy Auld,Andy Auld,1900-04-30,1,Providence,United States,0
1930,USA,United States,,FW,Arnie Oliver,Arnie Oliver,1907-05-22,0,Lucitania Recreation,United States,0
1930,USA,United States,,FW,Bart McGhee,Bart McGhee,1899-04-30,0,New York Nationals,United States,0
1930,USA,United States,,FW,Bert Patenaude,Bert Patenaude,1909-11-04,0,Fall River,United States,0
1930,USA,United States,,FW,Billy Gonsalves,Billy Gonsalves,1908-08-10,0,Fall River,United States,0
1930,USA,United States,,DF,Frank Vaughn,Frank Vaughn,1902-02-18,0,Ben Millers,United States,0
1930,USA,United States,,DF,George Moorhouse,George Moorhouse,1901-04-04,1,New York Giants,United States,0
1930,USA,United States,,FW,James Gentle,James Gentle,1904-07-21,0,Philadelphia Field Club,United States,0
1930,USA,United States,,FW,"Jim Brown (soccer, born 1908)",Jim Brown,1908-12-31,3,New York Giants,United States,0
1930,USA,United States,,GK,Jimmy Douglas (American soccer),Jimmy Douglas,1898-01-12,5,New York Nationals,United States,0
1930,USA,United States,,MF,Jimmy Gallagher,Jimmy Gallagher,1901-06-07,2,New York Nationals,United States,0
1930,USA,United States,,FW,Mike Bookie,Mike Bookie,1904-09-12,0,Cleveland Slavia,United States,0
1930,USA,United States,,MF,Philip Slone,Philip Slone,1907-01-20,0,New York Giants,United States,0
1930,USA,United States,,FW,Raphael Tracey,Raphael Tracey,1904-02-06,0,Ben Millers,United States,0
1930,USA,United States,,FW,Tom Florie,Tom Florie,1897-09-06,2,New Bedford Whalers,United States,1
1930,URU,Uruguay,,MF,Carlos Riolfo,Carlos Riolfo,1905-11-05,2,Peñarol,Uruguay,0
1930,URU,Uruguay,,MF,Conduelo Píriz,Conduelo Píriz,1905-06-17,7,Nacional,Uruguay,0
1930,URU,Uruguay,,DF,Domingo Tejera,Domingo Tejera,1899-07-22,15,Montevideo Wanderers,Uruguay,0
1930,URU,Uruguay,,DF,Emilio Recoba,Emilio Recoba,1904-11-03,5,Nacional,Uruguay,0
1930,URU,Uruguay,,GK,Enrique Ballestrero,Enrique Ballestrero,1905-01-18,1,Rampla Juniors,Uruguay,0
1930,URU,Uruguay,,DF,Ernesto Mascheroni,Ernesto Mascheroni,1907-11-21,-,Olimpia,Uruguay,0
1930,URU,Uruguay,,FW,Héctor Castro,Héctor Castro,1904-11-29,17,Nacional,Uruguay,0
1930,URU,Uruguay,,FW,Héctor Scarone,Héctor Scarone,1898-11-26,49,Nacional,Uruguay,0
1930,URU,Uruguay,,MF,José Leandro Andrade,José Leandro Andrade,1901-11-22,30,Nacional,Uruguay,0
1930,URU,Uruguay,,DF,José Nasazzi,José Nasazzi,1901-03-24,28,Bella Vista,Uruguay,1
1930,URU,Uruguay,,FW,Juan Carlos Calvo,Juan Carlos Calvo,1906-06-26,-,Miramar Misiones,Uruguay,0
1930,URU,Uruguay,,MF,Lorenzo Fernández,Lorenzo Fernández,1900-05-20,20,Peñarol,Uruguay,0
1930,URU,Uruguay,,GK,Miguel Capuccini,Miguel Capuccini,1904-01-05,6,Peñarol,Uruguay,0
1930,URU,Uruguay,,FW,Pablo Dorado,Pablo Dorado,1908-06-22,2,Bella Vista,Uruguay,0
1930,URU,Uruguay,,FW,Pedro Cea,Pedro Cea,1900-09-01,21,Nacional,Uruguay,0
1930,URU,Uruguay,,FW,Pedro Petrone,Pedro Petrone,1905-05-11,28,Nacional,Uruguay,0
1930,URU,Uruguay,,FW,Peregrino Anselmo,Peregrino Anselmo,1902-04-30,8,Peñarol,Uruguay,0
1930,URU,Uruguay,,FW,Santos Iriarte,Santos Iriarte,1902-11-02,-,Racing Club,Uruguay,0
1930,URU,Uruguay,,FW,Santos Urdinarán,Santos Urdinarán,1900-03-30,19,Nacional,Uruguay,0
1930,URU,Uruguay,,FW,Zoilo Saldombide,Zoilo Saldombide,1903-10-26,14,Nacional,Uruguay,0
1930,URU,Uruguay,,MF,Álvaro Gestido,Álvaro Gestido,1907-05-17,10,Peñarol,Uruguay,0
1930,URU,Uruguay,,MF,Ángel Melogno,Ángel Melogno,1905-03-22,5,Bella Vista,Uruguay,0
1930,YUG,Yugoslavia,,FW,Aleksandar Tirnanić,Aleksandar Tirnanić,1910-07-15,5,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,FW,Blagoje Marjanović,Blagoje Marjanović,1907-09-09,15,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,FW,Božidar Marković,Božidar Marković,1910-01-19,0,SK Vojvodina,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,MF,Branislav Hrnjiček,Branislav Hrnjiček,1908-06-05,4,SK Jugoslavija,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,FW,Branislav Sekulić,Branislav Sekulić,1906-10-29,3,Club Français,France,0
1930,YUG,Yugoslavia,,DF,Dragomir Tošić,Dragomir Tošić,1909-11-08,0,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,DF,Dragoslav Mihajlović,Dragoslav Mihajlović,1906-12-13,1,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,FW,Dragutin Najdanović,Dragutin Najdanović,1908-04-15,3,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,FW,Ivan Bek,Ivan Bek,1909-10-29,2,Sète,France,0
1930,YUG,Yugoslavia,,MF,Ljubiša Stevanović,Ljubiša Stefanović,1910-01-04,0,Sète,France,0
1930,YUG,Yugoslavia,,GK,Milan Stojanović (Yugoslavian footballer),Milan Stojanović,1911-12-28,0,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,MF,Milorad Arsenijević,Milorad Arsenijević,1906-06-06,16,BSK Beograd,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,GK,Milovan Jakšić,Milovan Jakšić,1909-09-21,2,SK Soko,Kingdom of Yugoslavia,0
1930,YUG,Yugoslavia,,DF,Milutin Ivković,Milutin Ivković,1906-03-03,22,SK Soko,Kingdom of Yugoslavia,1
1930,YUG,Yugoslavia,,MF,Momčilo Đokić,Momčilo Đokić,1911-02-27,2,SK Jugoslavija,Kingdom of Yugoslavia,0
